display_avt,name,price,description,num_available
https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=400,iPhone 15 Pro Max,39511355,"Sản phẩm chính hãng, bảo hành 12 tháng",350
https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=400,Samsung Galaxy S24 Ultra,41638495,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",6
https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=400,Xiaomi 14 Pro,12096751,"Màn hình sắc nét, pin trâu bền bỉ",314
https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,OPPO Find X7,46175905,"Sản phẩm chính hãng, bảo hành 12 tháng",492
https://images.unsplash.com/photo-1585060544812-6b45742d762f?w=400,Vivo X100 Pro,38638261,"Thiết kế cao cấp, hiệu năng mạnh mẽ",285
https://images.unsplash.com/photo-1592286927505-50caee9e831d?w=400,Realme GT 5,42266037,"Sạc nhanh, tiết kiệm thời gian",325
https://images.unsplash.com/photo-1565849904461-04e36d78f4c4?w=400,OnePlus 12,10787907,"Chất liệu bền đẹp, an toàn",468
https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=400,Google Pixel 8 Pro,9653780,"Thiết kế gọn nhẹ, dễ mang theo",237
https://images.unsplash.com/photo-1663499482523-1c0d8c19f43f?w=400,iPhone 14 Pro,31350452,"Màn hình sắc nét, pin trâu bền bỉ",90
https://images.unsplash.com/photo-1585088864383-bb937b0e8cf3?w=400,Samsung Galaxy Z Fold 5,25220730,"Thiết kế sang trọng, đẳng cấp",298
https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=400,MacBook Pro M3,42059064,"Thiết kế cao cấp, hiệu năng mạnh mẽ",433
https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=400,Dell XPS 15,10519093,Hỗ trợ nhiều tính năng thông minh,224
https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400,HP Pavilion 15,25850982,"Âm thanh chất lượng, bass mạnh",173
https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=400,Lenovo ThinkPad X1,15993700,"Thiết kế gọn nhẹ, dễ mang theo",103
https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=400,Asus ROG Zephyrus,10062956,"Sạc nhanh, tiết kiệm thời gian",24
https://images.unsplash.com/photo-1625785574085-ece8a21e0535?w=400,Acer Predator Helios,16971568,"Thiết kế sang trọng, đẳng cấp",302
https://images.unsplash.com/photo-1591799264318-7e6ef8ddb7ea?w=400,MSI Gaming GF63,32570054,"Màn hình sắc nét, pin trâu bền bỉ",394
https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=400,LG Gram 17,42958272,"Tiện lợi, dễ sử dụng",36
https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=400,Surface Laptop 5,15060794,"Tiện lợi, dễ sử dụng",350
https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=400,Huawei MateBook,12599529,"Hiệu suất cao, xử lý mượt mà",349
https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7?w=400,AirPods Pro 2,45673455,"Thiết kế gọn nhẹ, dễ mang theo",440
https://images.unsplash.com/photo-1484704849700-f032a568e944?w=400,Sony WH-1000XM5,44508355,"Âm thanh chất lượng, bass mạnh",186
https://images.unsplash.com/photo-1545127398-14699f92334b?w=400,Bose QuietComfort 45,24107382,"Màn hình sắc nét, pin trâu bền bỉ",371
https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=400,JBL Tune 770NC,42918338,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",371
https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,Samsung Galaxy Buds 2 Pro,23096269,"Sạc nhanh, tiết kiệm thời gian",333
https://images.unsplash.com/photo-1572536147248-ac59a8abfa5b?w=400,Soundcore Liberty 4,6716748,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",219
https://images.unsplash.com/photo-1577174881658-0f30157f72c4?w=400,Beats Studio Pro,45868866,"Thiết kế cao cấp, hiệu năng mạnh mẽ",35
https://images.unsplash.com/photo-1487215078519-e21cc028cb29?w=400,Sennheiser Momentum 4,41204016,"Tính năng đa dạng, phong phú",460
https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400,Jabra Elite 85h,31887210,"Âm thanh chất lượng, bass mạnh",448
https://images.unsplash.com/photo-1558756520-22cfe5d382ca?w=400,Audio-Technica ATH-M50x,36471545,"Thiết kế cao cấp, hiệu năng mạnh mẽ",48
https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=400,Apple Watch Series 9,10344327,"Chất lượng tốt, giá cả phải chăng",69
https://images.unsplash.com/photo-1617625802912-cde586faf331?w=400,Samsung Galaxy Watch 6,19280573,"Thiết kế sang trọng, đẳng cấp",278
https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=400,Garmin Fenix 7,17457244,"Chất liệu bền đẹp, an toàn",57
https://images.unsplash.com/photo-1557438159-51eec7a6c9e8?w=400,Fitbit Sense 2,48417200,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",91
https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,Huawei Watch GT 4,12368924,"Chất liệu bền đẹp, an toàn",18
https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=400,Amazfit GTR 4,14113495,"Thiết kế cao cấp, hiệu năng mạnh mẽ",480
https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=400,Xiaomi Watch S2,20216868,"Tiện lợi, dễ sử dụng",244
https://images.unsplash.com/photo-1510017803434-a899398421b3?w=400,Oppo Watch 2,6350313,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",437
https://images.unsplash.com/photo-1544117519-31a4b719223d?w=400,TicWatch Pro 5,21898818,Hỗ trợ nhiều tính năng thông minh,438
https://images.unsplash.com/photo-1533139502658-0198f920d8e8?w=400,Fossil Gen 6,30860100,"Màn hình sắc nét, pin trâu bền bỉ",371
https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400,iPad Pro M2,3770736,"Sạc nhanh, tiết kiệm thời gian",283
https://images.unsplash.com/photo-1585790050230-5dd28404f905?w=400,Samsung Galaxy Tab S9,28011190,"Sản phẩm chính hãng, bảo hành 12 tháng",86
https://images.unsplash.com/photo-1561154464-82e9adf32764?w=400,iPad Air,13552798,"Công nghệ tiên tiến, trải nghiệm tuyệt vời",116
https://images.unsplash.com/photo-1580910051074-3eb694886505?w=400,Xiaomi Pad 6,49948424,"Màn hình sắc nét, pin trâu bền bỉ",23
https://images.unsplash.com/photo-1611532736579-6b16e2b50449?w=400,Lenovo Tab P11,8617587,"Tiện lợi, dễ sử dụng",63
https://images.unsplash.com/photo-1585789575850-1a234d2b671e?w=400,Huawei MatePad Pro,44414958,"Màn hình sắc nét, pin trâu bền bỉ",382
